"sample","relative","bytes","sha256"
"sample-1","ABeautifulGame-draco-glb-export\ABeautifulGame.glb","12105120","8B03681A5DCD7683CAD269DF6D96F6620C3BAB92777A5F43D23593C5AF70EF7E"
"sample-1","ABeautifulGame-draco-glb-roundtrip\ABeautifulGame.glb","12105120","8B03681A5DCD7683CAD269DF6D96F6620C3BAB92777A5F43D23593C5AF70EF7E"
"sample-1","ABeautifulGame-glb-export\ABeautifulGame.glb","42978040","B70C303DB64576FEADBBE5553934D88170838ECABE6FEFDB585A5FBF79FDA617"
"sample-1","ABeautifulGame-glb-roundtrip\ABeautifulGame.glb","42978040","B70C303DB64576FEADBBE5553934D88170838ECABE6FEFDB585A5FBF79FDA617"
"sample-1","Avocado-glb-export\Avocado.glb","8110104","F5A55B5CBE7DF0D8B91D2ED55D75A14D7190850F7BDCF821A68DBFE84FF212BC"
"sample-1","Avocado-glb-roundtrip\Avocado.glb","8110104","F5A55B5CBE7DF0D8B91D2ED55D75A14D7190850F7BDCF821A68DBFE84FF212BC"
"sample-1","NodePerformanceTest-glb-export\NodePerformanceTest.glb","38031532","5B2A4D7B9B08C11931E3B27A3BFABF492CE92DBD8CECCFAD9B737FE29F6D4E92"
"sample-1","NodePerformanceTest-glb-roundtrip\NodePerformanceTest.glb","38031532","5B2A4D7B9B08C11931E3B27A3BFABF492CE92DBD8CECCFAD9B737FE29F6D4E92"
"sample-1","SpecularTest-glb-export\SpecularTest.glb","224024","A4B24ED3FA8805D97A61E97BF73AE57AC3E9D4F879AB05A69EB079946CBBD6CE"
"sample-1","SpecularTest-glb-roundtrip\SpecularTest.glb","224024","A4B24ED3FA8805D97A61E97BF73AE57AC3E9D4F879AB05A69EB079946CBBD6CE"
"sample-10","ABeautifulGame-draco-glb-export\ABeautifulGame.glb","12105120","8B03681A5DCD7683CAD269DF6D96F6620C3BAB92777A5F43D23593C5AF70EF7E"
